hs6,group,name,source
293420,API,"Heterocyclic compounds containing in the structure a benzothiazole ring-system, whether or","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293430,API,"Heterocyclic compounds containing in the structure a phenothiazine ring-system, whether or","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293491,API,"Aminorex (INN), brotizolam (INN), clotiazepam (INN), cloxazolam (INN), dextromoramide (INN","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293499,API,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293590,API,Sulphonamides (excl. perfluorooctane sulphonamides),"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293621,API,"Vitamins A and their derivatives, used primarily as vitamins","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293622,API,"Vitamin B1 and its derivatives, used primarily as vitamins","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293623,API,"Vitamin B2 and its derivatives, used primarily as vitamins","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293624,API,"D-Pantothenic or DL-pantothenic acid ""Vitamin B3 or B5"" and their derivatives, used primar","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293625,API,"Vitamin B6 and its derivatives, used primarily as vitamins","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293626,API,"Vitamin B12 and its derivatives, used primarily as vitamins","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293627,API,"Vitamin C and its derivatives, used primarily as vitamins","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293628,API,"Vitamin E and its derivatives, used primarily as vitamins","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293629,API,"Vitamins and their derivatives, used primarily as vitamins, unmixed (excl. vitamins A, B1,","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293690,API,"Provitamins and mixtures of vitamins, of provitamins or of concentrates, whether or not in","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293711,API,"Somatropin, its derivatives and structural analogues, used primarily as hormones","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293712,API,"Insulin and its salts, used primarily as hormones","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293719,API,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
