iso3,country,api_imp_2933_usd,china_india_share
BRA,Brazil,3723460310,0.536
ARG,Argentina,511051641,
MEX,Mexico,446475931,0.676
COL,Colombia,264110547,
CHL,Chile,67396515,
GTM,Guatemala,66686861,
URY,Uruguay,34472127,
CRI,Costa Rica,19863006,
DOM,Dominican Republic,13714034,0.663
SLV,El Salvador,5787621,
